oid,RAW_REFERENCE_KEY,Sign,ABSOLUTE_ODOMETER_m,US_WELD_NUMBER,US_WELD_DISTANCE_m,DS_WELD_DISTANCE_m,US_AGM_REFERENCE,US_AGM_DISTANCE_m,DS_AGM_REFERENCE,DS_AGM_DISTANCE_m,PARENT_CLUSTER,MAX_DEPTH_PCT,FEATURE_LENGTH_mm,FEATURE_WIDTH_mm,ORIENTATION_deg,SEAM_ORIENTATION_deg,FEATURE_TYPE,CURRENT_INDICATOR_LF,INT_EXT,WALL_THICKNESS_mm,SMYS_kPa,Year of Exceedance,085dL_RPR,RPR1.25,085dL_Burst_Pressure_kPa,MAOP_kPa,Type of Failure,COMMENTS
1,GWD 10,GWD,-0.546,GWD 10,0,0.621,,,VLV 1,1.164,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
2,TEE 1,TEE,-0.172,GWD 10,0.374,0.247,,,VLV 1,0.79,,0,0,0,7.5,0,Tee,Y,,12.7,386000,,0,,0,0,,
3,GWD 20,GWD,0.075,GWD 20,0,0.161,,,VLV 1,0.543,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
4,GWD 30,GWD,0.236,GWD 30,0,0.187,,,VLV 1,0.382,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
5,GWD 40,GWD,0.423,GWD 40,0,0.602,,,VLV 1,0.195,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
6,VLV 1,VLV,0.618,GWD 40,0.195,0.407,,,VLV 2,1.584,,0,0,0,0,0,Valve,Y,,12.7,386000,,0,,0,0,,
7,GWD 50,GWD,1.025,GWD 50,0,0.137,VLV 1,0.407,VLV 2,1.177,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
8,GWD 60,GWD,1.162,GWD 60,0,0.48,VLV 1,0.544,VLV 2,1.04,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
9,TEE 2,TEE,1.412,GWD 60,0.25,0.23,VLV 1,0.794,VLV 2,0.79,,0,0,0,270,0,Tee,Y,,12.7,386000,,0,,0,0,,
10,GWD 70,GWD,1.642,GWD 70,0,0.083,VLV 1,1.024,VLV 2,0.56,,0,0,0,0,0,Girth Weld,Y,,12.7,386000,,0,,0,0,,
